入荷量(トン),当月の平均気温(℃),　一月前の平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),日照時間の合計(時間),気温max=<20かつmin=>10の日数(日)
1104,0.461829164280084,0.09032387492828443,0.523192612674635,0.3534656327872455,0.27659756855205675,0.8554663973983037,0.212865947571462
767,0.8641485814387778,1.3442971785480382,0.8262597541910442,0.8784621349195468,0.663980900635574,-1.0727924063172949,-0.5937839590151309
719,0.3143120446552295,1.0774943479906438,0.24767702947789927,0.3406608400523114,-0.3308899294880044,-1.1963657341922602,1.5572824585491167
588,1.6017341795630498,0.8106915174332493,1.639030724621415,1.5827257353409268,-0.23844617978625596,1.5737363656715366,-0.5937839590151309
562,1.4408064126995723,1.2108957632693411,1.4874971538632102,1.4418730152566506,2.4644329781601026,-0.2463957761534672,-0.5937839590151309
1348,-0.3293990227986804,0.2770858563184604,-0.41356037019426667,-0.24835962575466108,0.047689235957251094,-1.183493512538618,2.901698969526772
1239,-1.4156614491271535,-0.9902275888291632,-1.3778649113828418,-1.4007909718987372,-0.9515836774854581,1.5608641440178945,-0.5937839590151309
514,1.34693188202921,1.464358452298866,1.3221878039451684,1.3778490515819797,0.06529756923377461,-2.1205912489237684,-0.5937839590151309
541,1.0787189372567476,1.4376781692431266,0.9502417666295752,1.185777160557967,1.3463038151008602,-2.231292355145091,-0.5937839590151309
850,0.08633104159863646,-0.6433839091045503,0.17879813367871533,-0.030678149260779882,-0.22083784650973246,0.9198275056665146,1.019515854158055
