,“ü‰×—Ê(ƒgƒ“),0,0
0,1104,950.9046533,0.138673321
1,767,675.0326167,0.119905324
2,719,905.6431341,0.259587113
3,588,804.4180818,0.368057962
4,562,669.7798263,0.19177905
5,1348,1141.911396,0.152884721
6,1239,1131.996684,0.086362644
7,514,590.4139999,0.148665369
8,541,643.4549319,0.189380651
9,850,1107.975825,0.303500971
