,入荷量(トン),0,0
0,1020,33.47030350822354,0.967185976952722
1,1180,25.75059618081481,0.9781774608637162
2,1120,22.960684948241816,0.9794993884390698
3,1004,19.93550081797629,0.9801439234880714
4,1138,19.62835228434288,0.9827518872721065
5,912,-13.147276094701946,1.0144158729108574
6,729,-29.812781719903892,1.040895448175451
7,439,-1.7378880324107542,1.0039587426706396
8,640,3.8313835919576658,0.9940134631375661
9,996,-29.934966264387846,1.0300551870124377
10,846,13.614389987409247,0.9839073404404146
11,1020,15.442394163128881,0.9848603978792854
