,入荷量(トン),0,0
0,1020,1168.1690258815595,0.145263750864274
1,1180,1117.6745030665409,0.05281821774021961
2,1120,1069.856726380205,0.04477078001767418
3,1004,1126.6075047149543,0.1221190286005521
4,1138,837.6434884878515,0.26393366565215154
5,912,827.2565447846589,0.09292045527997927
6,729,621.1406874661741,0.14795516122609864
7,439,700.2556904082494,0.5951154679003403
8,640,680.9626310135719,0.06400411095870613
9,996,893.2763505716093,0.10313619420521151
10,846,951.2190128571215,0.12437235562307503
11,1020,980.5475558254841,0.03867886683776069
